Census Tract,Total Population,California County,Longitude,Latitude,Asthma_Pctl
6071001600,6133,San Bernardino,-117.6180131,34.0577805,69.78
6071004900,7590,San Bernardino,-117.3168792,34.100314,96.61
6065030300,4497,Riverside ,-117.3763853,33.9798271,94.53
6071005701,2216,San Bernardino,-117.2926063,34.1006404,97.68
6065030502,2220,Riverside ,-117.3560514,33.9857419,70.75
6071012500,4268,San Bernardino,-117.3233041,34.0602092,91.5
6065046700,4442,Riverside ,-117.278368,33.8891026,75.99
6071002501,5840,San Bernardino,-117.4772152,34.0743336,78.34
6071012400,3617,San Bernardino,-117.2948174,34.0741251,91.65
6065031300,2651,Riverside ,-117.4058257,33.9303688,69.28
6071007000,7898,San Bernardino,-117.3134436,34.0744598,88.97
6071005600,7101,San Bernardino,-117.2922119,34.1173182,96.35
6065030104,6922,Riverside ,-117.3664576,34.0057669,93.29
6071004004,5076,San Bernardino,-117.3600222,34.0382751,63.06
6065042505,3639,Riverside ,-117.2825158,33.9293086,66.6
6071002204,6139,San Bernardino,-117.5103022,34.0737522,81.56
6071001813,4576,San Bernardino,-117.6422818,34.0482829,46.22
6071005500,8618,San Bernardino,-117.2905586,34.124986,95.08
6071001309,4793,San Bernardino,-117.6247116,34.0745733,84.75
6065030400,6414,Riverside ,-117.367719,33.9711717,70.94
6071004003,6178,San Bernardino,-117.3863212,34.043922,53.97
6065040204,3716,Riverside ,-117.3999055,33.9997288,64.08
6071004104,5257,San Bernardino,-117.3464052,34.1524361,86.73
6065042209,4579,Riverside ,-117.3422164,33.9951231,59.48
6071002110,7020,San Bernardino,-117.5668167,34.0907982,56.25
6071005400,6590,San Bernardino,-117.2908999,34.1322998,96.16
6071001400,2923,San Bernardino,-117.6510112,34.0667963,63.67
6071001501,4052,San Bernardino,-117.6409852,34.0672615,82.57
6071005800,3981,San Bernardino,-117.2844304,34.1092386,98.43
6071001504,5676,San Bernardino,-117.6199919,34.0670436,64.48
6071001803,2985,San Bernardino,-117.6174205,34.040951,58.47
6071007200,6798,San Bernardino,-117.2622655,34.0763612,69.62
6065030103,2105,Riverside ,-117.3656342,33.9928146,94.12
6065041410,3288,Riverside ,-117.5306429,33.8801854,46.7
6065042508,4888,Riverside ,-117.239288,33.8955489,64.83
6065030503,3812,Riverside ,-117.352832,33.9799005,71.9
6065040102,4630,Riverside ,-117.44041,34.0234351,61.9
6071007108,2202,San Bernardino,-117.3056556,34.0592689,91.5
6071007604,4306,San Bernardino,-117.197144,34.1064459,74.62
6071004800,3282,San Bernardino,-117.3082365,34.1120412,98.49
6071006601,4564,San Bernardino,-117.3378085,34.0729192,91.5
